Meeting ID,Topic,Start Time,End Time,User Email,Duration (Minutes),Participants,
00000000001,Meeting about Reunion,09/24/2020 11:35:16 AM,09/24/2020 12:49:20 PM,knightap@wustl.edu,75,170,

Name (Original Name),User Email,Total Duration (Minutes),Guest
Andrew Knight,knightap@wustl.edu,75,
George Harrison,george.harrison@gmail.com,72,
John Lennon,,70,
Paul McCartney (Wings),paul@gmail.com,73,
Ringo Starr,ringoRocks@beatles.org,53,
George Martin,,60,
Yoko Ono,,58,
Peter Best,pete@bigregrets.edu,54,
Eric Clapton,shredder@cream.org,57,
Eric's iPad (Clapton),,57,
