Meeting ID,Topic,Start Time,End Time,User Email,Duration (Minutes),Participants,dum
99999999999,Zoom Sample Meeting,9/24/20 13:30,9/24/20 14:45,knightap@wustl.edu,75,9,
,,,,,,,
Name (Original Name),User Email,Total Duration (Minutes),Guest,,,,
Andrew Knight,knightap@wustl.edu,75,,,,,
Bob Jones,bob@bob.com,72,,,,,
Jim's iPad,,70,,,,,
Ben's Big PC,ben@ben.com,73,,,,,
Rosie Posie,rp@rp.org,53,,,,,
paul mccartney,,60,,,,,
john lennon,,58,,,,,
george harrison,george@apple.com,54,,,,,
ringo starr,ringo@yellowsubmarine.edu,57,,,,,
